google_rating,indeed_rating,kaggle_rating,rjmetrics_rating
7,32,28,55.69
10,138,23,35.16
11,74,19,41.52
42,175,14,27.15
2,44,14,27.04
3,160,14,48.01
4,80,13,22.78
3,91,12,30.55
8,106,11,45.94
2,165,9,45.32
2,149,9,46.31
2,17,9,39
2,93,7,30.02
3,143,6,25.99
12,117,6,20.98
9,15,6,23.78
2,94,4,23.68
2,94,4,19.77
15,152,3,19.7
2,49,3,19.51
2,133,3,
6,0,3,
2,233,3,
56,94,2,
2,122,1,
5,76,,
2,106,,
3,73,,
7,96,,
7,70,,
2,83,,
2,146,,
2,69,,
2,98,,
2,109,,
6,134,,
2,76,,
2,108,,
2,68,,
,170,,
,16,,
,114,,
,64,,
,6,,
,89,,
,129,,
,121,,
,96,,
,155,,
,124,,
,41,,
,25,,
,52,,
,64,,
,132,,
,70,,
,86,,
,102,,
,52,,
,136,,
,172,,
,109,,
,122,,
,44,,
,107,,
,183,,
,85,,
,75,,
,130,,
,144,,
,109,,
,4,,
,127,,
,174,,
,167,,
,89,,
,92,,
,80,,
,0,,
,185,,
